,num_xDR_sess,Tot_DL_UL (Bytes),Social Media total data (Bytes),Youtube total data (Bytes),Netflix total data (Bytes),Google total data (Bytes),Email total data (Bytes),Gaming total data (Bytes),Other total data (Bytes),Dur. (ms)
count,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0,106856.0
mean,7.0,690962103.3077506,2547966.816014075,31558399.279095232,31538332.309257317,10882434.418469716,3148795.810838886,599769010.7173393,598508764.2792356,146167.1563225275
std,0.0,491055891.07422215,1908038.0421556635,21294917.681802288,21289556.969838105,7544861.436829419,2222400.099580454,449150462.4004246,448922110.04362017,186358.66967530473
min,7.0,33249009.0,1563.0,78903.0,184569.0,40330.0,18176.0,306358.0,149045.0,7142.0
25%,7.0,358549907.5,1211281.5,18631088.5,18555972.75,5942636.0,1674481.0,288063112.5,285559911.0,71308.0
50%,7.0,617923138.0,2303756.0,26800376.0,26718889.5,9586153.0,2799824.5,542349206.5,539832343.0,102740.0
75%,7.0,857435147.75,3307509.0,37927975.75,37976957.0,13214739.75,3847197.5,777304138.0,775397530.75,172799.0
max,7.0,8846226494.0,43374779.0,452958769.0,399519079.0,152191852.0,42418782.0,7749432234.0,8167877776.0,18553754.0
skew,0.0,2.2695746999307143,2.0904588413667082,2.539667384384391,2.47857080824592,2.4012212064678575,2.3745210362714477,2.0681880884156922,2.0072673233215697,20.539550876917446
mad,0.0,342733573.55588967,1362683.3315152524,14574895.751781957,14632852.616921283,5193562.902409767,1534226.76070856,319699328.9068562,320348468.21473557,90371.47617532125
median,7.0,617923138.0,2303756.0,26800376.0,26718889.5,9586153.0,2799824.5,542349206.5,539832343.0,102740.0
kurt,0.0,11.615909574361327,11.519748473838053,13.96731245618334,12.692311746695008,12.622354344531711,12.599693462968796,10.068305295508717,9.01710828077709,1237.8325752550745
