,Tot_DL_UL (Bytes),Social Media total data (Bytes),Youtube total data (Bytes),Netflix total data (Bytes),Google total data (Bytes),Email total data (Bytes),Gaming total data (Bytes),Other total data (Bytes)
0,33614892860.0,33626320676.0,33625779332.0,33659725664.0,33626320676.0,33626320676.0,33614892860.0,33626320676.0
1,33760536639.0,33760536639.0,33760536639.0,33614892860.0,33625779332.0,33614892860.0,33760536639.0,33614892860.0
2,33625779332.0,33659725664.0,33614892860.0,33625779332.0,33614892860.0,33625779332.0,33625779332.0,33675877202.0
3,33626320676.0,33614892860.0,33626320676.0,33760536639.0,33760536639.0,33786323068.0,33675877202.0,33625779332.0
4,33675877202.0,33625779332.0,33675877202.0,33626320676.0,33659725664.0,33659725664.0,33626320676.0,33603127838.0
5,33659725664.0,33667163239.0,33667163239.0,33760413819.0,33786323068.0,33760536639.0,33659725664.0,33659725664.0
6,33666464084.0,33786323068.0,33627080969.0,33667163239.0,33675877202.0,33675877202.0,33666464084.0,33626948251.0
7,33760413819.0,33669068942.0,33760413819.0,33675877202.0,33667163239.0,33665460546.0,33760413819.0,33627080969.0
8,33664712899.0,33603127838.0,33698792269.0,33786323068.0,33761268199.0,33667163239.0,33664712899.0,33761268199.0
9,33698792269.0,33658490784.0,33603127838.0,33761268199.0,33698756430.0,33698792269.0,33698792269.0,33658361927.0
